Rating,Title,Description,Cleaned_Description
5.0,Must buy!,Far Better Images Quality To Compre my I phone 15 Plus Highly Recommend To Photography And Video Shoot And So Cool Ai FeatureREAD MORE,far better image quality compre phone 15 plus highly recommend photography video shoot cool ai feature
5.0,Wonderful,"The best phone is this segment with great AI features, design is quite premium but quite similar to iPhone. Using it for last 2 week..no heating issues faced as such. The android experience is better than any other phoneREAD MORE","best phone segment great ai features, design quite premium quite similar iphone. using last 2 week..no heating issue faced such. android experience better phone"
5.0,Super!,Awesome Google pixel phone And new Update Version on Android 15Camera is Best Battery goodPerformance BestOverall Best phoneMy Best BuyingREAD MORE,awesome google pixel phone new update version android 15camera best battery goodperformance bestoverall best phonemy best buying
5.0,Terrific purchase,"Upgrading from the Pixel 6a to the Pixel 9 is definitely worth it, especially for camera enthusiasts. The Pixel 9 excels in night photography with stunning clarity and detail.READ MORE","upgrading pixel 6a pixel 9 definitely worth it, especially camera enthusiasts. pixel 9 excels night photography stunning clarity detail"
5.0,Wonderful,"A piece of Marvel. Works great. Handles tasks like a pro. The network has gotten a lot lot better than earlier. Looks exactly the same size as an iPhone 13 and samsung S 23. I have used them all and now I can say that it doesn't bite your hand, and feels more premium than iphone or samsung. The bad thing is that it slips a lot from your hand because of the curved back. Which is not a concern as you will definitely put a back cover.READ MORE","piece marvel. work great. handle task like pro. network gotten lot lot better earlier. look exactly size iphone 13 samsung 23. used say doesnt bite hand, feel premium iphone samsung. bad thing slip lot hand curved back. concern definitely put back cover"
5.0,Super!,It's the best of the year. I highly recommend it to buyREAD MORE,best year. highly recommend buy
5.0,Simply awesome,Excellent Quality of the MobileREAD MORE,excellent quality mobile
5.0,Best in the market!,Writing the review after a month. Really satisfied with the design and performance of the phone. Battery is okay. The AI feature has made my life very efficient.READ MORE,writing review month. really satisfied design performance phone. battery okay. ai feature made life efficient
5.0,Terrific purchase,Excellent one iphone is nothing.READ MORE,excellent one iphone nothing
5.0,Best Pixel Phone ever with super design,"Switched to Pixel from iphone. Phone has more premium touch and feel, looks elegant and photography is awesome.AI features makes it a must buy. Screen is much better than iphones non-pro models and does not cause any strain on eyes. Small inhouse tools in the phone makes life easier.READ MORE","switched pixel iphone. phone premium touch feel, look elegant photography awesome.ai feature make must buy. screen much better iphones nonpro model cause strain eyes. small inhouse tool phone make life easier"
5.0,Brilliant,"Product is very impressive, good build quality having a super look but battery drain very fast with heating issue identify. So google must be developed.READ MORE","product impressive, good build quality super look battery drain fast heating issue identify. google must developed"
5.0,Best Compact Phone In Market,"Best Build,Display ,Camera.Perfect choice for thoes who dont like large phones.READ MORE","best build,display ,camera.perfect choice thoes dont like large phone"
5.0,Super!,Overall goodREAD MORE,overall good
5.0,Terrific purchase,"Amazing product by Google, hopefully it will age well with tensor 4READ MORE","amazing product google, hopefully age well tensor 4"
5.0,Must buy!,Nice phoneREAD MORE,nice phone
5.0,Mind-blowing purchase,"Got this phone at launch. Below is my feedback from my 2-3 months of usage,- No lags on COD, PUBG and Mobile legends game. No heating even after continuous 3-4hrs of gaming. - Camera is as always the best. Captures natural colour. Tons of new feature like Add me, best take and so on. Night time photo and videos also amazing.- Interface is supeer smooth. Tons of animations are there at all around the UI. - I don't use wifi. Always using phone on 5G. No connectivity issue. Download speed is...READ MORE","got phone launch. feedback 23 month usage, lag cod, pubg mobile legend game. heating even continuous 34hrs gaming. camera always best. capture natural colour. ton new feature like add me, best take on. night time photo video also amazing. interface supeer smooth. ton animation around ui. dont use wifi. always using phone 5g. connectivity issue. download speed"
5.0,Terrific purchase,"Amazing phone, great camera and performance The battery has improved a lot . I exchanged my pixel 6a for it , and got a great deal .Premium look and feel .Must go for itREAD MORE","amazing phone, great camera performance battery improved lot . exchanged pixel 6a , got great deal .premium look feel .must go"
5.0,Excellent,This device is built differently.. just fabulous!READ MORE,device built differently.. fabulous!
5.0,Excellent,definitely an upgrade from pixel 7READ MORE,definitely upgrade pixel 7
4.0,Delightful,"Obviously it's a good phone, the camera is unbeatable with the loaded features, Add me still in preview mode, could have been better when taken photo hopefully Google will improve it in future updates.The battery needs to be improved a lot, previously I had Samsung S23 and iPhone 13 pro, which is good in all cases, hence comparing with battery backup.To me personally I feel the UI can be improved. Like some more customization required for text, display settings.. Again compared with Samsung...READ MORE","obviously good phone, camera unbeatable loaded features, add still preview mode, could better taken photo hopefully google improve future updates.the battery need improved lot, previously samsung s23 iphone 13 pro, good cases, hence comparing battery backup.to personally feel ui improved. like customization required text, display settings.. compared samsung"
4.0,Value-for-money,Very handy and attractive handset...READ MORE,handy attractive handset
4.0,Really Nice,Good product but packing is a Very BadREAD MORE,good product packing bad
5.0,Best in the market!,Love itREAD MORE,love
5.0,Just wow!,"Good improvements compared to previous version, looks exactly like iphone, Price is very high.READ MORE","good improvement compared previous version, look exactly like iphone, price high"
5.0,Super!,Overall Satisfied with a premium look and feel. Should have given a charger with this priceREAD MORE,overall satisfied premium look feel. given charger price
5.0,Must buy!,"After one month of use here is my review Pro:.Bold design with awesome performance . pixel 9 is all in one machine .grate look,good camera, better battery performanceREAD MORE","one month use review pro.bold design awesome performance . pixel 9 one machine .grate look,good camera, better battery performance"
5.0,Perfect product!,I've been using P9 for past 15 days and the device is just awesome. There are still some heating issues while using maps or cameras for a longer time. The battery has definitely been improved compared to previous pixel mobiles. Looks and feel is premium.Display and camera are fantabulous.READ MORE,ive using p9 past 15 day device awesome. still heating issue using map camera longer time. battery definitely improved compared previous pixel mobiles. look feel premium.display camera fantabulous
5.0,Terrific purchase,Upgraded from pixel 6a to pixel 9 Amazing phone feels too good in designThe camera is super brilliant.It's an amazingly smart phone. Smartest smart phone ever designed.Best android experience. If you really like something that gives you value for money then pixel is the best choiceREAD MORE,upgraded pixel 6a pixel 9 amazing phone feel good designthe camera super brilliant.its amazingly smart phone. smartest smart phone ever designed.best android experience. really like something give value money pixel best choice
4.0,Wonderful,One of the best smartphone .READ MORE,one best smartphone
5.0,Perfect product!,"I switched from an Iphone 13 to Pixel 9, which is my first ever android phone. And this switch didnt disatisfy me. I think this would a perfect option especially for long time iphone users, as google pixel offers the same experience, smoothness and of of course the premium touch. Camera is top notch, and it takes a bit long to full charge. But would recommend this as a perfect option.READ MORE","switched iphone 13 pixel 9, first ever android phone. switch didnt disatisfy me. think would perfect option especially long time iphone users, google pixel offer experience, smoothness course premium touch. camera top notch, take bit long full charge. would recommend perfect option"
5.0,Mind-blowing purchase,SuperREAD MORE,super
5.0,Super!,Superb mobile from Google after a long timeREAD MORE,superb mobile google long time
5.0,Mind-blowing purchase,"This is by far the best Android Phone I have used till date. First, for me the transition was from a Pixel 6 to a 9 and hence there was no learning curve. But the phone feels a lot more sturdy and well built and the camera is top notch. I am getting enough juice for an entire day and charges really quick with the Google Charger. I am struggling with the screen guard and might have to buy spigen since the touch sensor is right now a bit tricky. By would give the phone a 9/10 with no complain...READ MORE","far best android phone used till date. first, transition pixel 6 9 hence learning curve. phone feel lot sturdy well built camera top notch. getting enough juice entire day charge really quick google charger. struggling screen guard might buy spigen since touch sensor right bit tricky. would give phone 910 complain"
5.0,Classy product,I loved very much with this premium lookAwesome camera 📸 like a business phone materialREAD MORE,loved much premium lookawesome camera like business phone material
5.0,Awesome,"Stunning rear camera picture quality, especially portrait mode. Battery life is good, great Gemini interfacing experience.READ MORE","stunning rear camera picture quality, especially portrait mode. battery life good, great gemini interfacing experience"
5.0,Worth every penny,This is my first pixel device. And I'm not regretting it I'm in love with this. This is a mature device by Google. Would be good if google maintains the resale value for thisREAD MORE,first pixel device. im regretting im love this. mature device google. would good google maintains resale value
5.0,Simply awesome,i was confused between 8pro and 9 but AI features in 9 are in comparable. just awsomeREAD MORE,confused 8pro 9 ai feature 9 comparable. awsome
5.0,Brilliant,Loved this one... reviewing after 2.5 months of use....camera is awesomeREAD MORE,loved one... reviewing 2.5 month use....camera awesome
5.0,Excellent,Super phone from Google. Very good camera. Phone feels expensive to hold. Nice built with new design. Good battery lifeREAD MORE,super phone google. good camera. phone feel expensive hold. nice built new design. good battery life
5.0,Must buy!,ExcellentREAD MORE,excellent
5.0,Wonderful,"Fabulous, just go for it!!!READ MORE","fabulous, go it!!!"
5.0,Highly recommended,Awesome productREAD MORE,awesome product
5.0,Best in the market!,I love this phoneREAD MORE,love phone
5.0,Just wow!,Far better than iPhoneREAD MORE,far better iphone
5.0,Classy product,Excellent phone Camera awesome Design glass but compalsary use google casePerformance maid blowing Battery good but charge is 100 to take 2:40 minutes No heating issue phone is best option Take best choice i phone to better than GoogleREAD MORE,excellent phone camera awesome design glass compalsary use google caseperformance maid blowing battery good charge 100 take 240 minute heating issue phone best option take best choice phone better google
5.0,Great product,Have been a pixel fanboy for a long time and now finally having it is so exciting. No lags and No overheating as people complain. Loving the design 🤩.READ MORE,pixel fanboy long time finally exciting. lag overheating people complain. loving design
5.0,Terrific,Well made solid piece of engineering. Perfect dimensions and the screen is sublime. Snappy performance and what takes the cake is the buyback of my old pixel 7 for 24000.READ MORE,well made solid piece engineering. perfect dimension screen sublime. snappy performance take cake buyback old pixel 7 24000
5.0,Best in the market!,PerfectREAD MORE,perfect
4.0,Delightful,The phone feels great in hand and packs a power punch. Overall a great package until a few cons like the fingerprint scanner doesn't work with a screen guard on but Face lock compensates for it and it does face some network issues while travelling other than that I'm loving the Pixel Experience.READ MORE,phone feel great hand pack power punch. overall great package con like fingerprint scanner doesnt work screen guard face lock compensates face network issue travelling im loving pixel experience
4.0,Wonderful,"The Google Pixel 9 is a good smartphone with a focus on photography and software. Its camera system captures better photos, especially in low light, thanks to features like Night Sight. The clean and intuitive Android software offers a smooth user experience and regular updates. While the battery life could be better, the Pixel 9's overall performance and design make it a compelling choice for many users.READ MORE","google pixel 9 good smartphone focus photography software. camera system capture better photos, especially low light, thanks feature like night sight. clean intuitive android software offer smooth user experience regular updates. battery life could better, pixel 9 overall performance design make compelling choice many user"
4.0,Wonderful,NiceREAD MORE,nice
4.0,Good choice,"Pros: 1. The build quality and display  and brightness are fantastic. 2. The size is quite handy, if you prefer a smaller phone. 3. Battery lasts almost a day.4. Camera is so far so good. 6. I played games like pubg with mid level graphics and higher refresh rate didn't face any lag. Cons: 1. The fingerprint sensor might face some slowness or issues if there is tempered glass. Without temper it's top notch. It's something we have to deal with. 2. The phone starts feeling warm when we...READ MORE","pro 1. build quality display brightness fantastic. 2. size quite handy, prefer smaller phone. 3. battery last almost day.4. camera far good. 6. played game like pubg mid level graphic higher refresh rate didnt face lag. con 1. fingerprint sensor might face slowness issue tempered glass. without temper top notch. something deal with. 2. phone start feeling warm"
4.0,Very Good,It's wonderful phone with good batter baREAD MORE,wonderful phone good batter ba
4.0,Good choice,Gets heat up a lot and i found a mic malfunction hope it gets better with further software updatesREAD MORE,get heat lot found mic malfunction hope get better software update
4.0,Really Nice,"Overall good phone with Merits-Pixel Camera, Battery back up, Screen display is top notch.Sleek design, Smooth android operation Demerits -Slight heating issue when camera used for longer period ( more than 5 mins).Mobile is bit slippery so don't use without cover  .No much difference in camera ( if compared with iPhone 15, my last phone, might be too early to comment)Still Google pixel  5 is the best when we consider display ( 444 PPI).Overall a good phone which satisfy all your ne...READ MORE","overall good phone meritspixel camera, battery back up, screen display top notch.sleek design, smooth android operation demerit slight heating issue camera used longer period 5 mins.mobile bit slippery dont use without cover .no much difference camera compared iphone 15, last phone, might early commentstill google pixel 5 best consider display 444 ppi.overall good phone satisfy ne"
5.0,Brilliant,"My 2nd Pixel Phone ... from 6A to pixel 9...Camera, Software updates are too good... Battery Performance can be improved...Else it's an outstanding pickREAD MORE","2nd pixel phone ... 6a pixel 9...camera, software update good... battery performance improved...else outstanding pick"
5.0,Fabulous!,"For those who have a passion for photography, it's a great phone. AI is awesome. Since it's a high end phone, google could have thought about providing a suitable charger along with the package.READ MORE","passion photography, great phone. ai awesome. since high end phone, google could thought providing suitable charger along package"
4.0,Good quality product,Good phone..So nice to use it..But one thing there is an issue in this phone.A heating issue is present.If u do vdo chat with someone one for 1 hour this pixel 9 will burning 🥵 like sun!!Otherwise pH is too good 👍😊READ MORE,good phone..so nice use it..but one thing issue phone.a heating issue present.if u vdo chat someone one 1 hour pixel 9 burning like sun!!otherwise ph good
3.0,Nice,Fingerprint unlock is not working after applying the screen protector which I was not expecting at this price range phone.READ MORE,fingerprint unlock working applying screen protector expecting price range phone
5.0,Excellent,Exchange Google pixel 4a mobile. Pixel 9 is excellent mobile with build quality and camera is awesome. Battery backup is also awesome.READ MORE,exchange google pixel 4a mobile. pixel 9 excellent mobile build quality camera awesome. battery backup also awesome
5.0,Brilliant,Amazing camera performance. Recommended for those who are looking for Great android experience with Flagship level camera. Good form factor.Google did an amazing job with this device. Battery lasts easily for a full day of moderate usage. Very happy with the purchaseREAD MORE,amazing camera performance. recommended looking great android experience flagship level camera. good form factor.google amazing job device. battery last easily full day moderate usage. happy purchase
5.0,Awesome,"Happy overall❤️❤️, but screen size could have been slightly biggerREAD MORE","happy overall, screen size could slightly bigger"
5.0,Google Pixel 9 - Flagship of Google!!!!!,Flagship phone from Google and the name itself says it all. Marvelous master piece ever built by Google and its a real competitor for the I Phone. Feeling excited to own one of these. Thanks again Flipkart for the amazing delivery experience.READ MORE,flagship phone google name say all. marvelous master piece ever built google real competitor phone. feeling excited one these. thanks flipkart amazing delivery experience
5.0,Super!,First month of use and I am loving the experience so far. The device is up to my expectations and fulfills my needs. Those who want a compact form factor with decent battery life and excellent camera should go for Pixel 9.READ MORE,first month use loving experience far. device expectation fulfills needs. want compact form factor decent battery life excellent camera go pixel 9
5.0,Super!,GoodREAD MORE,good
5.0,Wonderful,Phone is perfect.READ MORE,phone perfect
5.0,Excellent,Excellent product and camera quality is awesome.READ MORE,excellent product camera quality awesome
5.0,Great product,I love the phone...zoom is amazing and performance is seamless..after using for 1 month I am completely impressed with its robustness yet feather light console..m so happy that I switched from pixel 6a to 9READ MORE,love phone...zoom amazing performance seamless..after using 1 month completely impressed robustness yet feather light console..m happy switched pixel 6a 9
5.0,Terrific,I love it😘READ MORE,love
5.0,Classy product,"Incredible camera, smooth performance, and a stunning display! The Pixel 9 Pro XL is a fantastic choice. The camera captures stunning photos and videos, and the phone's performance is buttery smooth. Plus, the display is vibrant and clear. Highly recommended!READ MORE","incredible camera, smooth performance, stunning display! pixel 9 pro xl fantastic choice. camera capture stunning photo videos, phone performance buttery smooth. plus, display vibrant clear. highly recommended!"
5.0,Great product,"Smooth Android EvErNeTwOrK issue fixed, Heating issue Fixed.Don't go with benchmark its a great deviceIncredible camera, Lightning-fast smooth performance, absolutely stunning displayREAD MORE","smooth android evernetwork issue fixed, heating issue fixed.dont go benchmark great deviceincredible camera, lightningfast smooth performance, absolutely stunning display"
5.0,Perfect product!,Got the phone today and the phone is beautiful and much better than previous generations.READ MORE,got phone today phone beautiful much better previous generation
5.0,Super!,"Excitement OverloadAs a recent iPhone convert, I'm blown away by the Pixel 9 Pro XL. The sleek design, lightning-fast performance, and the absolutely stunning display have completely won me over.The switch was seamless, and I'm beyond happy with my new Pixel. Google has nailed it with this one!READ MORE","excitement overloadas recent iphone convert, im blown away pixel 9 pro xl. sleek design, lightningfast performance, absolutely stunning display completely over.the switch seamless, im beyond happy new pixel. google nailed one!"
5.0,Super!,"Best ever Google Pixel! Really loved the build quality and it feels amazing in Porcelain colour if you go for a transparent cover. Have been using for 2 weeks, no heating issue, no lag, and features are mind-blowing. This feels like apple with android skin OS.READ MORE","best ever google pixel! really loved build quality feel amazing porcelain colour go transparent cover. using 2 weeks, heating issue, lag, feature mindblowing. feel like apple android skin o"
5.0,Mind-blowing purchase,Loved this beautiful beast. Flipkart has performed there quality of delivery now. At sharp time and dateREAD MORE,loved beautiful beast. flipkart performed quality delivery now. sharp time date
4.0,Good choice,Amazing phone. Don't go for processor review it's more than just reviewed on other websites.READ MORE,amazing phone. dont go processor review reviewed website
5.0,Super!,Have been using Google phones from the Nexus era. This is one of the best Google offers so far in this lineup.READ MORE,using google phone nexus era. one best google offer far lineup
5.0,Fabulous!,"Amazing camera, A+ battery life and good performance. It feels much more premium in hand and the soft touch back looks good in porcelain colour.READ MORE","amazing camera, battery life good performance. feel much premium hand soft touch back look good porcelain colour"
5.0,Mind-blowing purchase,Very good Mobile Thank you flipcartREAD MORE,good mobile thank flipcart
5.0,Brilliant,OsamREAD MORE,osam
4.0,Worth the money,Nice photo And video 👌READ MORE,nice photo video
4.0,Value-for-money,Everything good in first day use ... But speaker is very low in this budget . For better speaker go with Samsung m35 ..READ MORE,everything good first day use ... speaker low budget . better speaker go samsung m35
4.0,Worth the money,First impressions is very good but i give review after few months of use....READ MORE,first impression good give review month use
5.0,Must buy!,Great phone... At this budget with curved display😊... And premium looks🥵READ MORE,great phone... budget curved display... premium look
5.0,Fabulous!,"Price range, this phone very good 👍👍👍READ MORE","price range, phone good"
5.0,Perfect product!,Best budget phoneREAD MORE,best budget phone
5.0,Perfect product!,Mobile is to good and I am wondering about how this mobile comes under 15k ofter using it i am thanks to team infinixREAD MORE,mobile good wondering mobile come 15k ofter using thanks team infinix
5.0,Perfect product!,Osm price acodenigREAD MORE,osm price acodenig
5.0,Must buy!,"Camera quality, OS, curved display are very impressive in this price range. 😊👏👏READ MORE","camera quality, os, curved display impressive price range"
4.0,Very Good,Un expected...  Nice Budget phone Camera 7/10Display 10/10Design 9/10Performance 9/10Battery 8/10Nice phone at this price rangeREAD MORE,un expected... nice budget phone camera 710display 1010design 910performance 910battery 810nice phone price range
4.0,Delightful,Best product in this range Value for moneyREAD MORE,best product range value money
5.0,Great product,"Again I buy infinix, fantastic mobile .. love itGo for it✅READ MORE","buy infinix, fantastic mobile .. love itgo"
5.0,Best in the market!,"Really nice mobile, I SatisfiedREAD MORE","really nice mobile, satisfied"
5.0,Excellent,SuparREAD MORE,supar
5.0,Best in the market!,"You won't believe how good the design of this phone is.Very premium looking.camera is excellent.Nice curved display.If your budget is 15 to 17 thousand, you should purchase this only.Thanks Infinix for this amazing phone.Special thanks to FLIPKART for fast delivery.READ MORE","wont believe good design phone is.very premium looking.camera excellent.nice curved display.if budget 15 17 thousand, purchase only.thanks infinix amazing phone.special thanks flipkart fast delivery"
5.0,Wonderful,NiceREAD MORE,nice
5.0,Best in the market!,"Nice Zoom, camera, and design and powermance was so Good👍👍READ MORE","nice zoom, camera, design powermance good"
5.0,Best in the market!,Extremely Awesome Device. Infinix really work hard in there smart phones software and hardware... 🥰🤗Geat Device Just WowREAD MORE,extremely awesome device. infinix really work hard smart phone software hardware... geat device wow
5.0,Super!,Good phone given gift to wife it's just not phone it's a smile of wife thanks flip kart and infinix a great phone to lower middle class familyREAD MORE,good phone given gift wife phone smile wife thanks flip kart infinix great phone lower middle class family
4.0,Pretty good,Camera in best photoREAD MORE,camera best photo
5.0,Best in the market!,According to price is really niceREAD MORE,according price really nice
5.0,Really Nice,Camera quality good at night mode  value for moneyREAD MORE,camera quality good night mode value money
5.0,Perfect product!,In this price point no other brand can bit to infinix's this model . Close your eyes and buy it blindly . I'm fully satisfied .READ MORE,price point brand bit infinixs model . close eye buy blindly . im fully satisfied
5.0,Does the job,Good 👌READ MORE,good
5.0,Must buy!,Value for moneyREAD MORE,value money
5.0,Wonderful,Amezing Phone...Thanks flipkartREAD MORE,amezing phone...thanks flipkart
5.0,Classy product,Budget king  fully infinityREAD MORE,budget king fully infinity
5.0,Worth the money,💕 so happy 😊READ MORE,happy
5.0,Brilliant,OsamREAD MORE,osam
4.0,Wonderful,NiceREAD MORE,nice
4.0,Value-for-money,Budget phoneValue for moneyREAD MORE,budget phonevalue money
5.0,Brilliant,"Really superb phone with light weight,  and very smooth display. Worth it. No screen guard is not available in flickart . Please provide as soon as possible screen guardREAD MORE","really superb phone light weight, smooth display. worth it. screen guard available flickart . please provide soon possible screen guard"
4.0,Very Good,Nice phoneREAD MORE,nice phone
4.0,Nice product,Mobile Design is so nice 👍 In hand feel like wowww its beautiful This mobile is perfect on under 18k is best feel use Working so smoothREAD MORE,mobile design nice hand feel like wowww beautiful mobile perfect 18k best feel use working smooth
5.0,Great product,Super mobile phoneREAD MORE,super mobile phone
5.0,Great product,Looking Good And Many More Future in this segment Love U InfinixREAD MORE,looking good many future segment love u infinix
5.0,Highly recommended,Great mobile.. i love it. 1. Sound and video quality superb.2. Performance good 3. Battery life avg4. AI. Feature Good 5. Slim mobile..READ MORE,great mobile.. love it. 1. sound video quality superb.2. performance good 3. battery life avg4. ai. feature good 5. slim mobile
4.0,Delightful,"Camera 4/5Display 5/5Battery 4/5Design 5/5Performance 5/5 The phone is good as per the price, you can buy it 👍READ MORE","camera 45display 55battery 45design 55performance 55 phone good per price, buy"
5.0,Must buy!,Really love the feeel! It's stylish 😍Very slim and feels premium in handREAD MORE,really love feeel! stylish slim feel premium hand
5.0,Awesome,New android update.  Battery is fast drain. Camera is goodREAD MORE,new android update. battery fast drain. camera good
5.0,Super!,Nice mobile in this price rangeREAD MORE,nice mobile price range
4.0,Good choice,Good performance but hitting issueREAD MORE,good performance hitting issue
5.0,Brilliant,Very nice mobile phoneREAD MORE,nice mobile phone
5.0,Great product,"The Infinix Note 50s 5G offers a compelling package for its price point .  Its performance is a standout feature, powered by the MediaTek Dimensity 7300 Ultimate processor , resulting in smooth and responsive operation .  The phone boasts a vibrant AMOLED display with improved brightness and color tuning compared to its predecessors .  Furthermore, the camera system, featuring a 64MP Sony IMX682 main sensor, delivers capable image quality . While some AI features might need refinement , the o...READ MORE","infinix note 50 5g offer compelling package price point . performance standout feature, powered mediatek dimensity 7300 ultimate processor , resulting smooth responsive operation . phone boast vibrant amoled display improved brightness color tuning compared predecessor . furthermore, camera system, featuring 64mp sony imx682 main sensor, delivers capable image quality . ai feature might need refinement ,"
5.0,Fabulous!,Good product 🥰READ MORE,good product
4.0,Pretty good,"The phone design is good, the sound is good but both speakers have different frequency response, camera is also good but sometimes it struggles to focus, also the picture on top left corner distorts, please fix it, it doesn't support OTG not a single OTG device whether it is pen drive, mouse, keyboard, overall gaming   performance is good phone doesn't lag, screen is awesome, multitasking is smooth, folax is good but it can be fast, please fix it. The brightness on Always on display screen is...READ MORE","phone design good, sound good speaker different frequency response, camera also good sometimes struggle focus, also picture top left corner distorts, please fix it, doesnt support otg single otg device whether pen drive, mouse, keyboard, overall gaming performance good phone doesnt lag, screen awesome, multitasking smooth, folax good fast, please fix it. brightness always display screen"
5.0,Simply awesome,"I'm thoroughly impressed with the Infinix Note 50s 5G+. The 6.78-inch FHD+ 3D curved AMOLED display with a 144Hz refresh rate offers vibrant visuals and smooth scrolling.  Powered by the MediaTek Dimensity 7300 Ultimate processor, it handles multitasking and gaming effortlessly.  The 64MP dual rear camera captures sharp and detailed photos, while the 13MP front camera is perfect for selfies.  The 5500mAh battery ensures long-lasting usage, and the 45W fast charging quickly powers up the devic...READ MORE","im thoroughly impressed infinix note 50 5g. 6.78inch fhd 3d curved amoled display 144hz refresh rate offer vibrant visuals smooth scrolling. powered mediatek dimensity 7300 ultimate processor, handle multitasking gaming effortlessly. 64mp dual rear camera capture sharp detailed photos, 13mp front camera perfect selfies. 5500mah battery ensures longlasting usage, 45w fast charging quickly power devic"
5.0,Wonderful,Best phone under 16KDisplay 🌟🌟🌟🌟🌟Performance🌟🌟🌟🌟🌟Battery 🌟🌟🌟🌟🌟Camera 🌟🌟🌟🌟🌟 Most valuable phone by infinix Allrounder category phone  I hope infinix provide timely updateREAD MORE,best phone 16kdisplay performancebattery camera valuable phone infinix allrounder category phone hope infinix provide timely update
5.0,Terrific,I need a phone for using day to day. I think in this budget this is the right phone to choose.READ MORE,need phone using day day. think budget right phone choose
5.0,Fabulous!,Excellent beautifulREAD MORE,excellent beautiful
4.0,Worth the money,Very good displayVery good design very good speaker setsAverage cameraSmooth performance Little improvement needed in XosValvue for money but 256gb variant seems little expensive. No offers except flipkart axis bank credit card. Will update regarding performance after a month of testing.READ MORE,good displayvery good design good speaker setsaverage camerasmooth performance little improvement needed xosvalvue money 256gb variant seems little expensive. offer except flipkart axis bank credit card. update regarding performance month testing
5.0,Terrific,Display quality is excellent 💯💯READ MORE,display quality excellent
5.0,Perfect product!,NiceREAD MORE,nice
5.0,Worth every penny,Amazing infinix super nice affordable mobileREAD MORE,amazing infinix super nice affordable mobile
5.0,Best in the market!,Very good product.. IAM so happy 😊READ MORE,good product.. iam happy
5.0,Just wow!,Low prices and high quality mobile nice monay sev and nich cemraREAD MORE,low price high quality mobile nice monay sev nich cemra
5.0,Highly recommended,Awesome mobile just go for it.READ MORE,awesome mobile go
5.0,Super!,One of the best...best ....best...phone in this price range ...none can match it...feeling like using s23ultra premium flagship phone...it's really an awesome experienceREAD MORE,one best...best ....best...phone price range ...none match it...feeling like using s23ultra premium flagship phone...its really awesome experience
5.0,Best in the market!,1st Pre order delivery doneAwesome handsetREAD MORE,1st pre order delivery doneawesome handset
3.0,Decent product,"After 3 days of usage, I'm writing this review. Design is pretty good and in hand feel of the handset is the best. Curved display brings in a dark shadow on the sides of the screen which is quit unwanted. Overall display is smooth and gives best experience, except the shadow thing. Battery lasts upto a day with average usage. Performance is is what you'll like the most in this phone. You can play games like bgmi and cod with a fine experience. You can go for this phone if you're loo...READ MORE","3 day usage, im writing review. design pretty good hand feel handset best. curved display brings dark shadow side screen quit unwanted. overall display smooth give best experience, except shadow thing. battery last upto day average usage. performance youll like phone. play game like bgmi cod fine experience. go phone youre loo"
5.0,Terrific,This product is good but its battery does not last. Phone is good 👍camera is decentREAD MORE,product good battery last. phone good camera decent
5.0,Mind-blowing purchase,GoodREAD MORE,good
4.0,Nice product,"Premium looks and design . Lightweight, Good quality camera . One of the best feature smartphone under 20k. Thanks to infinix for Premium quality case . Good display.READ MORE","premium look design . lightweight, good quality camera . one best feature smartphone 20k. thanks infinix premium quality case . good display"
3.0,Good,Battery drained so fast Otherwise good phREAD MORE,battery drained fast otherwise good ph
5.0,Wonderful,Mobile very slim and superb looking.READ MORE,mobile slim superb looking
4.0,Really Nice,Osm mind-blowing phone super thankyou Flipkart 👍👍👍READ MORE,osm mindblowing phone super thankyou flipkart
5.0,Wonderful,Camera Quality And Video Quality Awesome 👍READ MORE,camera quality video quality awesome
5.0,Worth every penny,Value for money..READ MORE,value money
5.0,Brilliant,Very nice phone.Good battery backup. Super amoled display.AI features best.Camera clarity is very nice. Charging is fast. Overall best phone in 2025.Low price best phone.Thank u flipkart ☺️☺️☺️☺️☺️READ MORE,nice phone.good battery backup. super amoled display.ai feature best.camera clarity nice. charging fast. overall best phone 2025.low price best phone.thank u flipkart
5.0,Excellent,Everything is ok But delivery was very slow after 16 days delivered.READ MORE,everything ok delivery slow 16 day delivered
5.0,Just wow!,The phone is very good Battery 5/4Camera 5/5Display. 5/5Performance 5/5Charging 5/5 best phone under this price range 😍❤️😍 go for it  Budget killer phoneREAD MORE,phone good battery 54camera 55display. 55performance 55charging 55 best phone price range go budget killer phone
3.0,Decent product,Best phonREAD MORE,best phon
5.0,Worth every penny,BestREAD MORE,best
5.0,Excellent,Nice mobileREAD MORE,nice mobile
4.0,Good choice,Nice phone nise kualti😘READ MORE,nice phone nise kualti
4.0,Worth the money,Phone all ok 👍 but camera quality average 👎READ MORE,phone ok camera quality average
5.0,Must buy!,Very awesome phone... Smooth performance...READ MORE,awesome phone... smooth performance
5.0,Super!,Beast a perfect beautiful fastest phone in this range under 15kREAD MORE,beast perfect beautiful fastest phone range 15k
5.0,Fabulous!,Love this mobileREAD MORE,love mobile
5.0,Super!,GoodREAD MORE,good
3.0,Useless product,Don't go for price and looks. Infinix is doing good but the battery backup and the system software should have a look. Thin lines appears on screen while using the front camera.READ MORE,dont go price looks. infinix good battery backup system software look. thin line appears screen using front camera
4.0,Good quality product,phone is best but back camera DecentREAD MORE,phone best back camera decent
